epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
102,797.62,0.82154,1.29463,0.61911,0.86665,0,0.99514,0.925,0.95731,0.80534,0.96808,0.9,0.92138,0.66818,0.63392,1.00932,0.57924,0.89802,0,0.0010001,0.0010001,0.0010001
103,805.186,0.78369,1.29134,0.60126,0.87463,0,0.99636,0.925,0.95461,0.80763,0.99636,0.925,0.95599,0.69466,0.61825,1.00478,0.56303,0.8873,0,0.0009902,0.0009902,0.0009902
104,813.048,0.76937,1.33269,0.6149,0.86469,0,0.99636,0.925,0.95461,0.80763,0.99636,0.925,0.95599,0.69466,0.61825,1.00478,0.56303,0.8873,0,0.0009803,0.0009803,0.0009803
105,820.858,0.83678,1.31353,0.6199,0.86847,0,0.9954,0.925,0.95424,0.80839,0.9954,0.925,0.95499,0.69855,0.62716,0.97833,0.5426,0.88967,0,0.0009704,0.0009704,0.0009704
106,828.632,0.8094,1.32628,0.62224,0.87853,0,0.9954,0.925,0.95424,0.80839,0.9954,0.925,0.95499,0.69855,0.62716,0.97833,0.5426,0.88967,0,0.0009605,0.0009605,0.0009605
107,836.372,0.76906,1.30206,0.59851,0.86465,0,0.99522,0.925,0.95117,0.80244,0.9682,0.9,0.92457,0.68623,0.62865,0.95705,0.54554,0.89372,0,0.0009506,0.0009506,0.0009506
108,843.772,0.71923,1.05375,0.6054,0.87553,0,1,0.89626,0.9484,0.8053,1,0.89626,0.9484,0.69673,0.63184,0.95982,0.55654,0.89433,0,0.0009407,0.0009407,0.0009407
109,851.475,0.8286,1.37847,0.62585,0.87961,0,1,0.89626,0.9484,0.8053,1,0.89626,0.9484,0.69673,0.63184,0.95982,0.55654,0.89433,0,0.0009308,0.0009308,0.0009308
110,859.102,0.68245,1.13512,1.17825,0.78787,0,0.98653,0.925,0.95277,0.81205,0.98653,0.925,0.95277,0.70075,0.6174,0.94109,0.56098,0.89472,0,0.0009209,0.0009209,0.0009209
111,866.677,0.75947,1.19016,0.61117,0.87932,0,1,0.92377,0.95604,0.8089,1,0.92377,0.95604,0.7005,0.61993,0.94658,0.57099,0.89475,0,0.000911,0.000911,0.000911
112,874.268,0.7546,1.19137,0.58878,0.86614,0,1,0.92377,0.95604,0.8089,1,0.92377,0.95604,0.7005,0.61993,0.94658,0.57099,0.89475,0,0.0009011,0.0009011,0.0009011
113,882.054,0.77594,1.20583,0.60524,0.86519,0,1,0.89818,0.95575,0.82139,1,0.89818,0.95575,0.69412,0.64362,0.97008,0.58201,0.90052,0,0.0008912,0.0008912,0.0008912
114,890.026,0.74295,1.1876,0.60441,0.8609,0,1,0.89818,0.95575,0.82139,1,0.89818,0.95575,0.69412,0.64362,0.97008,0.58201,0.90052,0,0.0008813,0.0008813,0.0008813
115,897.889,0.73102,1.16251,0.58861,0.85603,0,1,0.89745,0.95884,0.82076,1,0.89745,0.95884,0.70011,0.64028,0.99713,0.57303,0.90548,0,0.0008714,0.0008714,0.0008714
116,906.29,0.78809,1.26353,0.61272,0.8661,0,1,0.89804,0.95988,0.81272,1,0.89804,0.96031,0.69431,0.64992,1.04885,0.56543,0.90548,0,0.0008615,0.0008615,0.0008615
