epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,983.949,0.68539,1.44933,0.58209,0.99708,0,0.89584,0.79918,0.8526,0.69342,0.88921,0.78761,0.82953,0.61373,0.67665,1.62168,0.60629,0.99856,0,0.000401085,0.000401085,0.000401085
79,997.119,0.64652,1.41717,0.55406,0.97871,0,0.93598,0.77876,0.85937,0.68684,0.92625,0.77804,0.8401,0.61784,0.71146,1.61741,0.60143,1.00937,0,0.000370788,0.000370788,0.000370788
80,1009.43,0.66872,1.4622,0.57084,0.99121,0,0.91044,0.8097,0.85801,0.6964,0.90457,0.80088,0.8408,0.62949,0.69124,1.61122,0.59419,1.00024,0,0.00034162,0.00034162,0.00034162
81,1021.73,0.67007,1.41011,0.5717,0.99105,0,0.87625,0.83628,0.86156,0.70003,0.91658,0.79646,0.84682,0.61262,0.69054,1.62468,0.57745,0.99488,0,0.00031361,0.00031361,0.00031361
82,1034.1,0.66893,1.37965,0.55801,0.99282,0,0.87848,0.83168,0.8572,0.69814,0.89015,0.80088,0.83559,0.62006,0.71436,1.60734,0.60113,1.00959,0,0.000286785,0.000286785,0.000286785
83,1046.44,0.65182,1.40327,0.54346,0.98329,0,0.9208,0.80531,0.85782,0.6921,0.91657,0.80088,0.83362,0.61966,0.70262,1.5916,0.60856,1.00261,0,0.000261173,0.000261173,0.000261173
84,1059.12,0.63206,1.36058,0.53794,0.98731,0,0.91913,0.80467,0.85465,0.69074,0.91436,0.80312,0.83427,0.62868,0.69524,1.59137,0.60734,0.99685,0,0.000236798,0.000236798,0.000236798
85,1072.07,0.67579,1.47925,0.56379,0.99291,0,0.90337,0.78761,0.85053,0.68776,0.90214,0.78761,0.83017,0.62443,0.69986,1.60875,0.6086,1.00555,0,0.000213685,0.000213685,0.000213685
86,1084.67,0.65895,1.43184,0.54893,0.9886,0,0.89413,0.81858,0.85287,0.69649,0.89007,0.80531,0.83145,0.62185,0.69962,1.60245,0.6163,0.99783,0,0.000191855,0.000191855,0.000191855
87,1099.15,0.65692,1.3679,0.5563,0.97625,0,0.89834,0.82109,0.86074,0.69115,0.90563,0.80088,0.83298,0.61371,0.69993,1.57619,0.59457,0.99853,0,0.000171332,0.000171332,0.000171332
88,1112.84,0.6454,1.42763,0.5506,0.97496,0,0.91967,0.79204,0.8586,0.69188,0.90816,0.79204,0.8388,0.62296,0.70784,1.57904,0.60231,1.00909,0,0.000152134,0.000152134,0.000152134
89,1126.04,0.64983,1.39165,0.54303,0.9738,0,0.90581,0.80849,0.86081,0.69752,0.90085,0.80407,0.84035,0.62405,0.69775,1.5736,0.60214,1.00116,0,0.000134282,0.000134282,0.000134282
90,1138.83,0.64154,1.39347,0.54611,0.99295,0,0.92778,0.80088,0.85732,0.69204,0.92265,0.79646,0.83893,0.61944,0.69956,1.57297,0.60042,1.00875,0,0.000117792,0.000117792,0.000117792
91,1162.79,0.6228,1.42874,0.57188,0.96458,0,0.92467,0.81416,0.85676,0.69077,0.92095,0.80973,0.83809,0.62247,0.73118,1.63874,0.59698,1.03439,0,0.000102681,0.000102681,0.000102681
92,1174.15,0.6238,1.3851,0.54406,0.96659,0,0.92916,0.81247,0.85753,0.68908,0.91909,0.80418,0.8338,0.62324,0.72932,1.63024,0.59116,1.03258,0,8.89639e-05,8.89639e-05,8.89639e-05
93,1185.82,0.62556,1.40551,0.53598,0.96971,0,0.92404,0.81416,0.85367,0.68688,0.91901,0.80973,0.83464,0.61997,0.72141,1.61602,0.59763,1.02836,0,7.6654e-05,7.6654e-05,7.6654e-05
94,1197.44,0.60668,1.39774,0.52064,0.94654,0,0.92398,0.80676,0.85093,0.6881,0.91892,0.80234,0.82854,0.62203,0.71452,1.61531,0.60306,1.01739,0,6.57636e-05,6.57636e-05,6.57636e-05
95,1208.49,0.61294,1.4024,0.52604,0.95227,0,0.9257,0.80973,0.85231,0.69673,0.92025,0.80531,0.82993,0.62614,0.70747,1.60024,0.60389,1.01325,0,5.63034e-05,5.63034e-05,5.63034e-05
96,1219.56,0.60532,1.35496,0.51563,0.95453,0,0.92056,0.81416,0.85512,0.69078,0.91556,0.80973,0.83503,0.61975,0.71349,1.59683,0.59876,1.0141,0,4.82828e-05,4.82828e-05,4.82828e-05
97,1230.54,0.61437,1.39502,0.51325,0.95329,0,0.91887,0.80188,0.85313,0.69322,0.9138,0.79745,0.82714,0.62309,0.70937,1.59776,0.59734,1.01588,0,4.17097e-05,4.17097e-05,4.17097e-05
98,1241.45,0.61103,1.37685,0.53016,0.9538,0,0.92374,0.80401,0.85041,0.68968,0.91866,0.79959,0.82784,0.62304,0.70558,1.59447,0.59891,1.01441,0,3.65905e-05,3.65905e-05,3.65905e-05
99,1252.45,0.60752,1.41159,0.53524,0.95072,0,0.91924,0.80581,0.85144,0.69235,0.91419,0.80139,0.82924,0.62642,0.70493,1.59666,0.59644,1.01242,0,3.29303e-05,3.29303e-05,3.29303e-05
100,1263.53,0.61431,1.38955,0.52687,0.95738,0,0.92046,0.80531,0.8522,0.68944,0.91783,0.80088,0.83362,0.62437,0.70436,1.59784,0.5906,1.01384,0,3.07328e-05,3.07328e-05,3.07328e-05
